month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2023-08,Georgia,11824,0,14968,8637,999,814,0,10,9,0,2189,806,12,77,1,0,0,0,15,7,1,0,0,0,40369
2023-08,Guam,0,0,196,92,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313
2023-08,Hawaii,1752,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1754
2023-08,Idaho,6277,111,4449,4600,543,327,1,2,1,0,329,300,3,98,11,4,0,0,8,6,1,0,0,0,17071
2023-08,Illinois,206445,0,20241,10349,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237846
2023-08,Indiana,407,22190,16646,10978,1549,994,0,2,2,0,901,309,21,65,5,0,0,0,29,15,1,2,0,1,54117
2023-08,Iowa,3351,3964,1976,2421,174,78,2,0,0,0,32,21,0,83,19,1,0,0,0,2,0,0,0,0,12124
2023-08,Kansas,2426,5,5147,4824,601,362,0,2,5,1,511,190,4,130,9,4,0,0,4,0,1,1,0,0,14227
2023-08,Kentucky,636,234512,8475,7034,552,558,11,10,7,1,1539,820,7,38,10,0,0,0,13,13,3,1,2,0,254242
2023-08,Louisiana,2060,443,8956,7249,774,599,3,6,4,2,915,448,6,0,0,0,0,0,5,7,2,0,0,0,21479
2023-08,Maine,428,14,3111,3538,292,205,2,0,0,0,62,60,0,30,5,1,0,0,6,9,0,0,0,0,7763
2023-08,Mariana Islands,0,0,20,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2023-08,Maryland,8738,42,8144,4771,108,1,0,0,1,0,88,84,2,117,23,13,0,0,0,21,4,0,2,0,22159
2023-08,Massachusetts,9228,0,4913,2844,1240,343,1,0,0,0,10,17,2,1,0,0,0,0,41,26,8,3,1,0,18678
2023-08,Michigan,17157,7483,16899,13482,1661,793,0,0,0,0,22,219,5,121,22,2,0,0,29,6,3,0,0,0,57904
2023-08,Minnesota,11427,36598,8375,10778,856,535,0,2,1,0,184,234,0,129,28,1,0,0,18,14,1,1,0,0,69182
2023-08,Mississippi,1840,0,8406,7693,490,558,0,8,1,1,1545,748,4,20,1,0,0,0,8,5,0,0,0,0,21328
2023-08,Missouri,942,217,16188,13538,1729,1241,0,0,5,1,1278,632,15,447,36,0,0,0,24,16,1,3,2,0,36315
2023-08,Montana,884,4,4109,4341,308,409,6,1,1,1,410,436,0,47,15,0,0,0,11,7,2,0,0,0,10992
2023-08,Nebraska,3655,150,108,1466,15,4,0,0,0,0,3,14,0,33,8,0,0,0,0,2,0,0,0,0,5458
2023-08,Nevada,3333,0,4365,2014,364,286,0,0,1,0,248,67,0,1,0,0,0,0,384,148,21,0,0,0,11232
2023-08,New Hampshire,1511,2,4885,2878,441,1,38,2,0,0,0,6,0,120,1,9,0,0,0,0,0,0,0,0,9894
2023-08,New Jersey,0,0,6360,3102,869,0,0,0,0,0,0,0,0,4,0,0,0,0,73,55,3,1,2,1,10470
2023-08,New Mexico,827,0,5602,3547,619,389,0,12,4,0,386,303,1,53,2,0,0,0,98,42,1,0,1,0,11887
2023-08,New York,4513,2750,10576,11456,1003,295,0,2,0,0,40,33,5,55,58,1,1,2,334,260,19,5,4,1,31413
2023-08,North Carolina,13410,188,21623,10674,1307,829,0,11,6,0,2328,1039,19,908,128,7,2,2,38,11,3,0,3,0,52536
2023-08,North Dakota,450,14,1614,2506,144,106,0,1,1,0,63,66,0,8,4,0,0,0,15,21,1,0,0,0,5014
2023-08,Ohio,8426,1465,18488,12634,1424,997,0,4,2,0,1412,426,7,278,98,7,0,0,11,6,2,0,1,0,45688
2023-08,Oklahoma,3494,1,9803,7584,1177,927,0,4,3,0,1751,967,8,100,8,0,0,0,37,32,7,1,1,0,25905
2023-08,Oregon,5482,279,11431,8386,1592,27,25,0,0,0,7,1,2,187,27,0,0,0,389,279,26,0,0,0,28140
2023-08,Pennsylvania,29383,1,35397,18299,28,0,293,0,0,0,0,0,0,832,145,0,0,0,0,0,0,0,0,0,84378
2023-08,Puerto Rico,0,0,3826,378,45,50,0,0,0,0,52,13,0,0,0,0,0,0,968,101,6,4,0,0,5443
2023-08,Rhode Island,0,0,919,599,80,109,0,0,0,0,0,2,1,19,11,3,0,0,13,4,0,1,1,0,1762
2023-08,South Carolina,7645,729,8554,5515,942,456,2,3,1,0,823,315,1,275,8,32,0,0,3,5,0,1,0,0,25310
2023-08,South Dakota,888,31,1633,2517,130,117,0,0,0,0,94,98,0,1,0,25,0,0,15,9,1,0,0,0,5559
2023-08,Tennessee,8783,3398,23835,15229,1630,0,0,0,0,0,1,0,0,125,4,0,0,0,0,0,0,0,0,0,53005
2023-08,Texas,27901,0,47559,30913,3810,2585,5,24,10,1,6959,2601,84,255,7,1,0,0,39,24,5,0,3,1,122787
2023-08,Utah,15488,58591,3930,3634,672,0,0,2,4,0,238,196,2,189,51,52,0,0,0,0,0,0,0,0,83049
2023-08,Vermont,0,0,1189,1467,79,111,0,1,2,0,9,11,2,0,0,0,0,0,3,7,0,0,0,0,2881
2023-08,Virgin Islands,151,19,35,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,221
2023-08,Virginia,238,134,20538,13005,3167,0,0,0,0,0,0,0,0,549,33,1,0,0,0,0,0,0,0,0,37665
2023-08,Washington,13118,418,13987,7348,987,41,133,0,6,1,415,453,17,661,134,11,0,0,270,198,98,1,0,0,38297
2023-08,West Virginia,2278,108,4078,4451,273,333,5,3,0,1,754,587,2,17,2,2,0,0,2,2,2,0,0,0,12900
2023-08,Wisconsin,12462,892,12464,12008,830,55,0,0,0,2,161,137,4,166,43,1,0,0,0,2,0,0,0,0,39227
2023-08,Wyoming,607,12,1980,2008,177,146,9,1,0,0,164,133,1,40,1,1,0,0,2,6,0,0,0,0,5288
2023-07,Alabama,10197,96,15324,9081,1285,877,0,21,3,2,2078,788,23,75,0,0,0,0,32,21,7,0,0,0,39910
2023-07,Alaska,147,17,2644,2149,280,205,0,1,0,0,120,68,1,19,9,0,0,0,2,0,0,0,0,0,5662
2023-07,Arizona,9910,2843,14812,6957,1568,833,0,24,6,1,1064,369,9,221,18,2,0,0,12,4,1,0,0,0,38654
2023-07,Arkansas,2912,327,5552,4050,433,400,3,4,5,1,995,685,3,0,0,0,0,0,5,7,1,0,0,0,15383
2023-07,California,30393,14309,30198,18567,3953,0,0,1,0,0,609,463,66,3203,1237,91,0,0,7393,3010,601,44,16,0,114154
2023-07,Colorado,8015,6,15430,9647,1422,1493,0,0,0,0,0,0,0,274,37,0,0,0,0,0,0,0,0,0,36324
2023-07,Connecticut,6320,522,4347,1494,379,0,3,0,0,0,0,0,0,0,0,0,0,0,378,128,13,0,0,0,13584
2023-07,Delaware,691,0,1740,772,83,65,0,0,0,0,21,3,0,61,0,0,0,0,42,16,1,0,2,0,3497
2023-07,District of Columbia,739,0,237,9,1,2,32,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1051
2023-07,Florida,8746,0,59086,18577,4796,3047,0,18,3,0,3746,843,3,1496,105,2,0,0,262,127,63,46,51,0,101017
2023-07,Georgia,10499,0,14937,6725,957,697,0,13,4,0,1963,638,13,70,3,0,0,0,8,0,1,0,0,1,36529
2023-07,Guam,0,0,175,89,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
2023-07,Hawaii,1337,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1339
2023-07,Idaho,8265,142,4265,3941,537,262,0,0,1,0,298,244,1,71,12,7,0,0,6,8,0,0,0,0,18060
2023-07,Illinois,199545,0,19386,8274,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227972
2023-07,Indiana,376,22454,16217,9321,1450,807,0,3,1,0,768,285,14,59,1,0,0,0,24,13,7,3,1,0,51804
2023-07,Iowa,2740,3836,2015,1978,159,74,1,0,0,0,27,23,0,67,10,0,0,0,6,3,0,1,0,0,10940
2023-07,Kansas,1818,2,5207,4166,603,350,0,1,1,0,454,163,8,101,11,1,0,0,8,3,2,0,0,0,12899
2023-07,Kentucky,617,308776,8219,5806,577,490,8,9,0,0,1340,673,5,41,5,0,0,0,5,12,2,0,1,0,326586
2023-07,Louisiana,1761,487,8535,5199,763,475,1,4,1,1,782,353,14,0,0,0,0,0,10,5,0,0,1,0,18392
2023-07,Maine,310,13,3053,2934,269,229,0,0,0,0,70,41,0,25,12,0,0,0,9,5,0,0,0,0,6970
2023-07,Mariana Islands,0,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2023-07,Maryland,7349,43,7961,4451,101,10,0,0,2,0,115,75,0,89,60,3,0,0,12,18,1,0,0,0,20290
2023-07,Massachusetts,9140,0,3957,2284,1367,235,1,0,0,0,12,14,0,1,0,0,0,0,13,22,5,0,1,1,17053
2023-07,Michigan,14926,5683,16571,11322,1652,807,3,0,2,1,21,191,1,45,10,0,0,0,27,3,9,0,1,0,51275
2023-07,Minnesota,9727,34724,7819,7476,922,469,0,3,0,0,182,151,1,98,22,3,0,0,21,13,1,1,1,0,61634
2023-07,Mississippi,1775,0,6673,4000,407,351,0,6,5,0,1363,599,3,16,1,0,0,0,6,0,1,0,0,0,15206
2023-07,Missouri,800,155,15409,10686,1687,1014,0,1,4,0,1127,548,16,337,36,2,0,0,32,21,10,1,0,0,31886
2023-07,Montana,807,0,3803,3546,320,344,10,1,1,0,395,373,0,44,10,0,0,0,2,2,1,0,0,0,9659
2023-07,Nebraska,3435,98,115,1151,13,6,0,0,0,0,4,16,0,29,14,0,0,0,0,0,0,0,0,0,4881
2023-07,Nevada,3545,0,4118,1815,341,246,0,0,1,1,199,59,1,0,0,0,0,0,375,151,20,0,0,0,10872
2023-07,New Hampshire,1130,2,4771,2525,514,0,63,1,1,1,0,3,0,91,6,5,0,0,0,0,0,0,0,0,9113
2023-07,New Jersey,0,0,6752,3117,903,0,0,0,0,0,0,0,0,1,0,0,0,0,99,50,6,4,1,0,10933
2023-07,New Mexico,746,0,5751,3425,554,326,0,6,5,0,356,269,4,51,0,0,0,0,95,29,4,0,1,0,11622
2023-07,New York,5522,2217,8486,8163,733,208,0,0,0,1,24,24,2,39,68,2,1,0,257,194,21,9,4,0,25975
2023-07,North Carolina,13623,221,21984,8739,1316,772,0,11,3,0,1946,818,13,754,119,0,3,0,38,8,0,1,2,0,50371
2023-07,North Dakota,388,12,1454,1971,131,106,0,1,0,0,66,60,0,4,1,0,0,0,4,6,2,0,0,0,4206
2023-07,Ohio,8477,845,18760,11771,1472,949,0,1,0,1,1207,398,7,292,68,14,0,0,7,8,2,0,0,0,44279
2023-07,Oklahoma,3077,1,9653,6393,1099,789,2,4,3,2,1551,799,8,87,3,0,0,0,27,16,7,0,0,0,23521
2023-07,Oregon,5054,276,11041,7676,1462,17,2,0,0,0,1,1,0,177,44,2,0,0,344,266,22,0,0,0,26385
2023-07,Pennsylvania,26303,2,33320,15865,19,0,271,0,0,0,0,0,0,684,88,3,0,0,0,0,0,0,0,0,76555
2023-07,Puerto Rico,0,0,3583,314,50,34,0,1,0,0,49,7,0,0,0,0,0,0,974,92,9,2,0,0,5115
